"CAINC6N Compensation of Employees by NAICS Industry"
"(Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","LineCode","Description","2018"
"17003","Alexander, IL","1103","        Lessors of nonfinancial intangible assets (except copyrighted works)",0
"17003","Alexander, IL","1200","      Professional, scientific, and technical services",226
"17003","Alexander, IL","1300","      Management of companies and enterprises",0
"17003","Alexander, IL","1400","      Administrative and support and waste management and remediation services",280
"17003","Alexander, IL","1401","        Administrative and support services","(D)"
"17003","Alexander, IL","1402","        Waste management and remediation services","(D)"
"17003","Alexander, IL","1500","      Educational services","(D)"
"17003","Alexander, IL","1600","      Health care and social assistance","(D)"
"17003","Alexander, IL","1601","        Ambulatory health care services","(D)"
"17003","Alexander, IL","1602","        Hospitals",0
"17003","Alexander, IL","1603","        Nursing and residential care facilities",3851
"17003","Alexander, IL","1604","        Social assistance","(D)"
"17003","Alexander, IL","1700","      Arts, entertainment, and recreation",0
"17003","Alexander, IL","1701","        Performing arts, spectator sports, and related industries",0
"17003","Alexander, IL","1702","        Museums, historical sites, and similar institutions",0
"17003","Alexander, IL","1703","        Amusement, gambling, and recreation industries",0
"17003","Alexander, IL","1800","      Accommodation and food services",1733
"17003","Alexander, IL","1801","        Accommodation",0
"17003","Alexander, IL","1802","        Food services and drinking places",1733
"17003","Alexander, IL","1900","      Other services (except government and government enterprises)","(D)"
"17003","Alexander, IL","1901","        Repair and maintenance",0
"17003","Alexander, IL","1902","        Personal and laundry services","(D)"
"17003","Alexander, IL","1903","        Religious, grantmaking, civic, professional, and similar organizations","(D)"
"17003","Alexander, IL","1904","        Private households",71
"17003","Alexander, IL","2000","    Government and government enterprises",24456
"17003","Alexander, IL","2001","      Federal civilian",1849
